primary_question,answer
异动数据未落地,"原因：
1、异动申请流程未审批完成；
2、【异动待办单】未办结；
3、未到异动生效日期；
解决方案：
1、联系hrbp检查异动审批流审批是否通过；
2、联系基础人事同事在【调入待办单】或【异动待办单】内点击确认合同信息；
3、hrbp检查是否已到异动生效日期；
满足以上条件，次日同步到云图梭组架。
除此之外，每月10号到18号是ps算薪期，异动无法落地，请19号再进行查询。
 
注：【异动待办单】需有基础人事角色：可到【HR-π-通用流程-权限自助】申请基础人事角色，才可收到此单据。
 "
修改员工的所属组织架构,"现象：员工云图梭上的【岗位】或【部门】显示有误；
解决方案：需要联系hrbp确认并进行异动调整，异动审批完成后，相关信息次日同步；
注：若进行批量异动，需要hrbp到【HR--通用流程-人力非标场景】走人力非标流程。"
职级调整已生效但是交通补贴有误,"原因：职级交通珑珠是每月底发放上月的，所以本次发放的是上月交通珑珠。
解决：下个月起即可收到该职级交通补贴；若还有问题可咨询龙小湖。"
HR-π中异动申请没有调薪信息,"现象：异动申请中没有第四步调薪信息
解决：无薪酬权限，需要到【HR--通用流程-权限自助】申请【薪酬管理员】的角色，且组织范围包含员工的所属组织"
发起【异动意向申请单】没生成审批流程,原因：【异动意向申请单】没有审批流程，【异动意向申请单】发起后，会生成【异动意向确认单】到调出方hrbp那里，【异动意向申请单】状态会自动办结，无需审批。&nbsp;解决方案：联系【异动意向申请单】下方的处理人去处理确认即可。&nbsp;&nbsp;注：【异动意向确认单】由对方hrbp确认后，才可继续发起【异动申请单】进行异动，异动意向申请单中，会显示异动意向确认单的接收人。
取消异动申请单,解决方案：1、若异动单据未完成，基础人事未点确认合同信息，HRBP可到【异动申请单】取消异动；（如下图）若异动已完成，需再次异动回去2、若异动单据未完成，基础人事已点确认合同信息，HRBP需要发起非标信息调整-其他，由集中作业组调整。&nbsp;
员工异动-无对应岗位（已在π里新增岗位）,现象：异动选不到已新增的岗位；原因：岗位新增后没有到生成时间。解决方案：联系hrbp在【HR-&pi;】-【我的任务】-【组织管理】-【组织架构】新建岗位调整任务单，确认对应组架下是否有岗位，且确认岗位生效时间，新增岗位次日才可使用，且推送到下游系统。注：若没新增岗位，联系hrbp新增岗位。
地区异地福利标准如何修改,解决：更新异地福利标准，请与【集团人力】沟通。
无法收到异动沟通的进行签署,"原因：员工有更换过手机号码，导致无法收到异动沟通单。
解决方案：先让HRBP在【异动沟通单待办任务单】里删除未签署的文件，再让员工到【我湖生涯】中 修改手机号码，手机号码修改完成后，再重新发送。"
异动页面没有调薪权限,"原因：无薪酬管理员权限
解决方案：前往HR--【通用流程】-【权限自助】，申请薪酬管理员角色，且组织范围选择员工异动后的所属组织。"
转正申请中自我评价界面无提交按钮,解决：联系下发起人，先撤回，然后删除，再重新创建一个转正申请
无法在云图梭提交转正申请,员工无法自己发起转正流程，请联系HRBP进行提交转正流程。
入职待办任务单的合同信息填写错误,"解决：
1、在确认报道之前，基础人事可自行修改，修改后点击暂存，返回列表页再次进入修改成功；
2、在确认报道之后，需要到HR--通用流程，提交人力非标件任务单进行修改。"
员工异动信息填写错误,"场景：异动/短调短训流程审批完成后，发现【异动生效时间】、【职级生效时间】、【异地福利生效时间】等信息错误
处理方法：
1、HRBP到【HR-π-通用流程-人力非标场景】，发起【人力非标件申请任务单】需要提交如下信息：
① 修改的员工工号；
② 员工姓名；
③ 需要修改的字段
④ 修改后的信息；
2、审批通过后，后台运维人员会在1-2个工作日内完成修改。
 
注：若异动审批还未发起，则发起人在单据上可直接修改。"
员工入职单据完成后发现花名册合同、费用分摊等字段错误,"解决：
1、hrbp到【HR--通用流程-人力非标场景】，提个通用流程并上传需修改合同或费用分摊信息表，添加【地区人力负责人】审批，审批通过后，后台运维会在2个工作日内完成修改;
2、联系员工收回原错误合同，重新签署劳动合同。"
HR-π数据修改流程,解决：需联系hrbp，到【HR--通用流程-人力非标场景】，发起【人力非标件申请任务单】流程修改，审批完成后1-2个工作日内生效。
修改过往工作经历的步骤,云图梭：员工本人到【手机云图梭-应用-我湖生涯-我的】，进行外部工作经历修改；
hr-π通用流程无法提交,"原因：【HR--我的任务-通用流程-人事通用流程】此功能已下线；
解决：请到【HR--我的任务-通用流程-人力非标场景】进行提报。"
如何查询已签署的处罚确认书,"员工签字版查询路径：员工当天签署的，可次日在【员工履历--电子档案里查看】
处罚书内容查询路径：处罚书内容点击文件名即可查看"
☛ 正常打卡还推送考勤异常,"原因：
1、实际打卡时间与系统排班时间不符；
2、打卡时间不符合系统打卡有效期规则；
3、考勤机脱机数据无法传输。
解决方案：
1、联系考勤管理员，查询HR-系统中排班时间段（以系统为准），确认打卡时间是否符合系统排班时段；
（若休息，则排班改为休息，次日重新计算异常）
2、打卡有效期规则是【前三后五】：以班次打卡时间为准，上班打卡要在前三个小时内，下班打卡要在后五个小时内。
例如班次为9:00-18:00，上班打卡范围为6:00-9:00，下班打卡范围为18:00-23:00，超出范围的打卡属于无效打卡，会推送缺卡异常，需要您自己到【考勤异常】应用进行申报补卡。
3、若为考勤机打卡，请联系考勤管理员检查考勤机是否脱机，由考勤管理员联系地区IT解决脱机后，打卡数据恢复，异常次日重新计算。
注：若不清楚考勤管理员是谁，可联系负责办理入职及考勤的人事。"
☛ 未收到考勤异常推送,原因：通常有以下情况不会推送异常1、【出差】或【休假】期间，未打卡不会推送考勤异常；2、没有【排班】的前提下，未打卡不会推送考勤异常； 解决方案：1、请先确认是否提交过【出差】或【休假】申请；2、联系考勤管理员，检查您的排班和人员标签情况：（1） 如您是【排班】员工，请管理员检查您是否已排班。如未排班，请考勤管理员上传班次后，次日下午5点后收到异常推送。 排班查询路径【HR-π-时间管理-排班】；（2）如您是【非排班】员工（行政岗），请考勤管理员检查您的标签是否为【非排班】人员。如否，请考勤管理员修正为【非排班】，之前的异常不会推送，联系人事线下统计。标签查询路径【HR-π-时间管理-排班-人员管理】。注1：若不清楚自己的考勤管理员是谁，可找负责办理入职及考勤的人事进行咨询。注2：当天的未打卡异常，次日下午才会推送考勤异常。
